productid,rate,cmt,username
626fc73b92862a001100054e,3,Good,", Darbhanga"
626fc73b92862a0011000566,5,Excellent for battery life and Display. Nice smartphone from samsung.,", Mandir Hasaud"
626fc73b92862a0011000566,4,God awasome phone in this price,", Mokokchung"
626fc73b92862a0011000566,1,mobile over heat then usig net,", Rohtas District"
626fc73b92862a0011000566,5,"Above  par, worth for  money",", Madurai"
626fc73b92862a0011000566,5,Exceptional phone on this range.... loved it,", New Delhi"
626fc73b92862a0011000582,5,Very nice,", Loni"
626fc73b92862a00110005a0,5,Successor of Realme GT series is here...,", Kalyan"
626fc73b92862a00110005a0,4,Pros: ,", Thane"
626fc73b92862a00110005a0,5,Awesome 👍👍,", Barotiwala Industrial Area"
626fc73b92862a00110005a0,5,Best product in mid range. Flagship killer. Just go for it,", Mayiladuthurai"
626fc73b92862a00110005a0,5,"Used for 2 days ,very nice phone,this is my 2nd realme phone,first was realme xt, both phones very good,camera excellent, for realme xt there was no hanging and heat issues,for gt 2 also I hope so,charging speed excellent, will give more details after 1 week use",", Alappuzha District"
626fc73b92862a00110005a1,5,Successor of Realme GT series is here...,", Kalyan"
626fc73b92862a00110005a1,4,Pros: ,", Thane"
626fc73b92862a00110005a1,5,Awesome 👍👍,", Barotiwala Industrial Area"
626fc73b92862a00110005a1,5,Best product in mid range. Flagship killer. Just go for it,", Mayiladuthurai"
626fc73b92862a00110005a1,5,"Used for 2 days ,very nice phone,this is my 2nd realme phone,first was realme xt, both phones very good,camera excellent, for realme xt there was no hanging and heat issues,for gt 2 also I hope so,charging speed excellent, will give more details after 1 week use",", Alappuzha District"
626fc73b92862a00110005ca,5,Style is fabulous.. feel premium when in handy,", Surat"
626fc73b92862a00110005ca,5,Super phone cemara quality super,", East Godavari District"
626fc73b92862a00110005ca,5,Good,", Greater Noida"
626fc73b92862a00110005ca,5,Best,", Shivamogga"
626fc73b92862a00110005f2,5,Super Light and Compact.,", Calangute"
626fc73b92862a0011000608,4,Good,", Jaipur"
626fc73b92862a0011000608,5,Good product&service,", Bargarh"
626fc73b92862a0011000608,5,"Product quality,packaging and  is very good.",", Navi Mumbai"
626fc73b92862a0011000608,5,Nice mobile at this price range and it's amazing,", Bid District"
626fc73b92862a001100061d,3,Good,", Darbhanga"
626fc73b92862a0011000622,5,Good product,", Thiruvallur District"
626fc73b92862a0011000625,4,Good,", Parole"
626fc73b92862a0011000625,5,Super phoneb,", Kattappana"
626fc73b92862a0011000625,1,"Camara quality very worst, exception is not satisfied",", Kangayampalayam"
626fc73b92862a0011000625,5,One of the fantastic phone have i got,", Khagaria"
626fc73b92862a0011000648,5,Very nice,", Loni"
626fc73b92862a001100065f,5,Super,", Benudia"
626fc73b92862a001100065f,5,Good,", Changsari"
626fc73b92862a001100065f,5,Good,", Purba Champaran District"
626fc73b92862a001100065f,5,Very nice  mobile phone,", Dhanaura"
626fc73b92862a001100066a,3,Okk,", Virudhunagar District"
626fc73b92862a0011000685,5,Excellent for battery life and Display. Nice smartphone from samsung.,", Mandir Hasaud"
626fc73b92862a0011000685,4,God awasome phone in this price,", Mokokchung"
626fc73b92862a0011000685,1,mobile over heat then usig net,", Rohtas District"
626fc73b92862a0011000685,5,"Above  par, worth for  money",", Madurai"
626fc73b92862a0011000685,5,Exceptional phone on this range.... loved it,", New Delhi"
626fc73b92862a00110006ab,5,Awesome product 🔥🔥,", Anand District"
626fc73b92862a00110006bf,1,Battery not use,", Chengalpattu District"
626fc73b92862a00110006f7,1,Bad experience ☹️,", Patna"
626fc73b92862a00110006ff,4,Good,", Jaipur"
626fc73b92862a00110006ff,5,Good product&service,", Bargarh"
626fc73b92862a00110006ff,5,"Product quality,packaging and  is very good.",", Navi Mumbai"
626fc73b92862a00110006ff,5,Nice mobile at this price range and it's amazing,", Bid District"
626fc73b92862a001100070a,5,Very nice,", Loni"
626fc73b92862a0011000709,4,Nice,", Bengaluru"
626fc73b92862a0011000736,3,Okk,", Virudhunagar District"
626fc73b92862a0011000773,5,Very 👍🏻👍🏻,", Anantapur District"
626fc73b92862a0011000773,3,Ok,", Hoskote"
626fc73b92862a001100077f,1,Very bad product,", Nagpur District"
626fc73b92862a001100077f,2,Sound quality bad,", Mahabubabad District"
626fc73b92862a001100077f,5,Super,", Koppal District"
626fc73b92862a0011000782,5,Very good mobile.,", Bolpur"
626fc73b92862a0011000782,5,Very good phone,", Bharwari"
626fc73b92862a0011000789,5,Good,", Gwalior"
626fc73b92862a0011000789,2,Bad 😔,", Mumbai"
626fc73b92862a0011000789,5,Good in performance,", Kakinada"
626fc73b92862a0011000789,5,Nice,", Durgapur"
626fc73b92862a001100079c,1,Very bad product,", Nagpur District"
626fc73b92862a001100079c,2,Sound quality bad,", Mahabubabad District"
626fc73b92862a001100079c,5,Super,", Koppal District"
626fc73b92862a00110007a5,5,Good phone,", Sultanpur"
626fc73b92862a00110007a5,1,Not good,", Baleshwar District"
626fc73b92862a00110007a5,4,Nice product 😘😘,", Jhajjar District"
626fc73b92862a00110007c2,5,Good,", Gwalior"
626fc73b92862a00110007c2,2,Bad 😔,", Mumbai"
626fc73b92862a00110007c2,5,Good in performance,", Kakinada"
626fc73b92862a00110007c2,5,Nice,", Durgapur"
626fc73b92862a00110007d3,5,Good 😊,", Siliguri"
626fc73b92862a00110007d3,5,Good,", Siliguri"
626fc73b92862a00110007d2,5,Good 😊,", Siliguri"
626fc73b92862a00110007d2,5,Good,", Siliguri"
626fc73b92862a00110007da,5,Product good,", Karur District"
626fc73b92862a00110007da,5,Super,", Ranipettai"
626fc73b92862a00110007e4,4,Good,", Parole"
626fc73b92862a00110007e4,5,Super phoneb,", Kattappana"
626fc73b92862a00110007e4,1,"Camara quality very worst, exception is not satisfied",", Kangayampalayam"
626fc73b92862a00110007e4,5,One of the fantastic phone have i got,", Khagaria"
626fc73b92862a00110007d1,2,Price is too much high....,", Bengaluru"
626fc73b92862a0011000801,5,Good 😊,", Siliguri"
626fc73b92862a0011000801,5,Good,", Siliguri"
626fc73b92862a0011000806,4,Good,", Parole"
626fc73b92862a0011000806,5,Super phoneb,", Kattappana"
626fc73b92862a0011000806,1,"Camara quality very worst, exception is not satisfied",", Kangayampalayam"
626fc73b92862a0011000806,5,One of the fantastic phone have i got,", Khagaria"
626fc73b92862a0011000825,1,Very Bad mobile samsung,", Delhi"
626fc73b92862a0011000829,4,Nice,", Bengaluru"
626fc73b92862a0011000838,5,Awesome product 🔥🔥,", Anand District"
626fc73b92862a001100083e,5,Super,", Benudia"
626fc73b92862a001100083e,5,Good,", Changsari"
626fc73b92862a001100083e,5,Good,", Purba Champaran District"
626fc73b92862a001100083e,5,Very nice  mobile phone,", Dhanaura"
626fc73b92862a001100084e,5,Product good,", Karur District"
626fc73b92862a001100084e,5,Super,", Ranipettai"
626fc73b92862a0011000854,5,Very nice 👌👌👌,", Margao"
626fc73b92862a0011000853,5,Very nice 👌👌👌,", Margao"
626fc74a92862a00110008a1,5,"This is my first time buying an Acer laptop, and I am impressed. Purchased it two weeks back and it arrived in a good looking box, you could tell that they are have put in a lot of thought to make this product. The body design or texture is nothing like what I have seen before and I could not find one plastic packaging material used in the box. The laptop set up was rather easy and it boots real quick. Using it is a breeze and I proudly show it off to my friends now. I am the only one who use...",", Bengaluru"
626fc74a92862a00110008a5,5,nice at the price range,", Kannauj District"
626fc74a92862a00110008a5,5,Very nice laptop best in this price,", Nashik District"
626fc74a92862a00110008a9,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a00110008b0,5,Thanks,", Madurai"
626fc74a92862a00110008b0,5,Best laptop under 22000 you can buy easily and product packaging also very good.....❤️,", Chandrapur District"
626fc74a92862a00110008b0,5,Good product,", Chakan"
626fc74a92862a00110008af,5,Good quality,", Jamui"
626fc74a92862a00110008b9,5,"This is my first time buying an Acer laptop, and I am impressed. Purchased it two weeks back and it arrived in a good looking box, you could tell that they are have put in a lot of thought to make this product. The body design or texture is nothing like what I have seen before and I could not find one plastic packaging material used in the box. The laptop set up was rather easy and it boots real quick. Using it is a breeze and I proudly show it off to my friends now. I am the only one who use...",", Bengaluru"
626fc74a92862a00110008bd,5,nice at the price range,", Kannauj District"
626fc74a92862a00110008bd,5,Very nice laptop best in this price,", Nashik District"
626fc74a92862a00110008c1,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a00110008cd,5,nice at the price range,", Kannauj District"
626fc74a92862a00110008cd,5,Very nice laptop best in this price,", Nashik District"
